geometry
"POLYGON ((41.138636702 -8.58463068399993, 41.138636702 -8.583924385999929, 41.139343 -8.583924385999929, 41.139343 -8.58463068399993, 41.138636702 -8.58463068399993))"
"POLYGON ((41.138636702 -8.583924385999929, 41.138636702 -8.583218087999928, 41.139343 -8.583218087999928, 41.139343 -8.583924385999929, 41.138636702 -8.583924385999929))"
"POLYGON ((41.138636702 -8.583218087999928, 41.138636702 -8.582511789999927, 41.139343 -8.582511789999927, 41.139343 -8.583218087999928, 41.138636702 -8.583218087999928))"
"POLYGON ((41.138636702 -8.582511789999927, 41.138636702 -8.581805491999926, 41.139343 -8.581805491999926, 41.139343 -8.582511789999927, 41.138636702 -8.582511789999927))"
"POLYGON ((41.138636702 -8.581805491999926, 41.138636702 -8.581099193999925, 41.139343 -8.581099193999925, 41.139343 -8.581805491999926, 41.138636702 -8.581805491999926))"
"POLYGON ((41.138636702 -8.581099193999925, 41.138636702 -8.580392895999925, 41.139343 -8.580392895999925, 41.139343 -8.581099193999925, 41.138636702 -8.581099193999925))"
"POLYGON ((41.138636702 -8.580392895999925, 41.138636702 -8.579686597999924, 41.139343 -8.579686597999924, 41.139343 -8.580392895999925, 41.138636702 -8.580392895999925))"
"POLYGON ((41.138636702 -8.579686597999924, 41.138636702 -8.578980299999923, 41.139343 -8.578980299999923, 41.139343 -8.579686597999924, 41.138636702 -8.579686597999924))"
"POLYGON ((41.138636702 -8.578980299999923, 41.138636702 -8.578274001999922, 41.139343 -8.578274001999922, 41.139343 -8.578980299999923, 41.138636702 -8.578980299999923))"
"POLYGON ((41.138636702 -8.578274001999922, 41.138636702 -8.577567703999922, 41.139343 -8.577567703999922, 41.139343 -8.578274001999922, 41.138636702 -8.578274001999922))"
"POLYGON ((41.139343 -8.6496101, 41.139343 -8.648903802, 41.140049297999994 -8.648903802, 41.140049297999994 -8.6496101, 41.139343 -8.6496101))"
"POLYGON ((41.139343 -8.648903802, 41.139343 -8.648197503999999, 41.140049297999994 -8.648197503999999, 41.140049297999994 -8.648903802, 41.139343 -8.648903802))"
"POLYGON ((41.139343 -8.648197503999999, 41.139343 -8.647491205999998, 41.140049297999994 -8.647491205999998, 41.140049297999994 -8.648197503999999, 41.139343 -8.648197503999999))"
"POLYGON ((41.139343 -8.647491205999998, 41.139343 -8.646784907999997, 41.140049297999994 -8.646784907999997, 41.140049297999994 -8.647491205999998, 41.139343 -8.647491205999998))"
"POLYGON ((41.139343 -8.646784907999997, 41.139343 -8.646078609999996, 41.140049297999994 -8.646078609999996, 41.140049297999994 -8.646784907999997, 41.139343 -8.646784907999997))"
"POLYGON ((41.139343 -8.646078609999996, 41.139343 -8.645372311999996, 41.140049297999994 -8.645372311999996, 41.140049297999994 -8.646078609999996, 41.139343 -8.646078609999996))"
"POLYGON ((41.139343 -8.645372311999996, 41.139343 -8.644666013999995, 41.140049297999994 -8.644666013999995, 41.140049297999994 -8.645372311999996, 41.139343 -8.645372311999996))"
"POLYGON ((41.139343 -8.644666013999995, 41.139343 -8.643959715999994, 41.140049297999994 -8.643959715999994, 41.140049297999994 -8.644666013999995, 41.139343 -8.644666013999995))"
"POLYGON ((41.139343 -8.643959715999994, 41.139343 -8.643253417999993, 41.140049297999994 -8.643253417999993, 41.140049297999994 -8.643959715999994, 41.139343 -8.643959715999994))"
"POLYGON ((41.139343 -8.643253417999993, 41.139343 -8.642547119999993, 41.140049297999994 -8.642547119999993, 41.140049297999994 -8.643253417999993, 41.139343 -8.643253417999993))"
"POLYGON ((41.139343 -8.642547119999993, 41.139343 -8.641840821999992, 41.140049297999994 -8.641840821999992, 41.140049297999994 -8.642547119999993, 41.139343 -8.642547119999993))"
"POLYGON ((41.139343 -8.641840821999992, 41.139343 -8.641134523999991, 41.140049297999994 -8.641134523999991, 41.140049297999994 -8.641840821999992, 41.139343 -8.641840821999992))"
"POLYGON ((41.139343 -8.641134523999991, 41.139343 -8.64042822599999, 41.140049297999994 -8.64042822599999, 41.140049297999994 -8.641134523999991, 41.139343 -8.641134523999991))"
"POLYGON ((41.139343 -8.64042822599999, 41.139343 -8.63972192799999, 41.140049297999994 -8.63972192799999, 41.140049297999994 -8.64042822599999, 41.139343 -8.64042822599999))"
"POLYGON ((41.139343 -8.63972192799999, 41.139343 -8.639015629999989, 41.140049297999994 -8.639015629999989, 41.140049297999994 -8.63972192799999, 41.139343 -8.63972192799999))"
