,mac_address,lat,lon
273,0005ca634629,41.1586449,-8.6282866
274,0005ca634629,41.1586383,-8.6282699
275,0005ca634629,41.1586365,-8.6283094
276,0005ca634629,41.1586333,-8.62828
277,0005ca634629,41.1586461,-8.6283235
278,0005ca634629,41.1585883,-8.6283383
279,0005ca634629,41.1586138,-8.6283181
280,0005ca634629,41.158609,-8.6283517
281,0005ca634629,41.1585766,-8.6283783
282,0005ca634629,41.1586262,-8.6283944
283,0005ca634629,41.1585649,-8.62839
284,0005ca634629,41.1586103,-8.6284211
285,0005ca634629,41.1585607,-8.628437
286,0005ca634629,41.1586262,-8.6283944
287,0005ca634629,41.158595,-8.6284316
288,0005ca634629,41.1585583,-8.6283683
289,0005ca634629,41.1586436,-8.6283777
290,0005ca634629,41.1586428,-8.6283656
291,0005ca634629,41.1586099,-8.6283933
292,0005ca634629,41.1586366,-8.6285283
293,0005ca634629,41.1586208,-8.6284685
294,0005ca634629,41.1586083,-8.628465
295,0005ca634629,41.1586455,-8.6284592
296,0005ca634629,41.1585956,-8.6285145
297,0005ca634629,41.1586183,-8.62845
298,0005ca634629,41.1586033,-8.6286516
299,0005ca634629,41.15858,-8.628695
300,0005ca634629,41.1586075,-8.6286788
301,0005ca634629,41.1585533,-8.6287566
302,0005ca634629,41.1585783,-8.62875
303,0005ca634629,41.1585844,-8.6289431
304,0005ca634629,41.1586016,-8.6288942
305,0005ca634629,41.1585888,-8.6289081
306,0005ca634629,41.1585994,-8.6288553
307,0005ca634629,41.1585534,-8.6290362
308,0005ca634629,41.1587123,-8.6282329
309,0005ca634629,41.1587329,-8.6282255
310,0005ca634629,41.158705,-8.6281765
311,0005ca634629,41.1586883,-8.6281916
312,0005ca634629,41.1586872,-8.6282463
313,0005ca634629,41.1586999,-8.628185
314,0005ca634629,41.1586866,-8.6281616
315,0005ca634629,41.1586816,-8.6281783
316,0005ca634629,41.1587172,-8.6282226
317,0005ca634629,41.1587133,-8.6282166
318,0005ca634629,41.1586774,-8.6281672
319,0005ca634629,41.1586816,-8.6281766
320,0005ca634629,41.1586545,-8.6281851
321,0005ca634629,41.1586666,-8.6281533
322,0005ca634629,41.15874,-8.6282317
323,0005ca634629,41.1586935,-8.62824
324,0005ca634629,41.158685,-8.6281833
325,0005ca634629,41.158695,-8.6281983
326,0005ca634629,41.1587016,-8.628205
327,0005ca634629,41.1587457,-8.6282089
328,0005ca634629,41.1587116,-8.6282016
329,0005ca634629,41.1586749,-8.62823
330,0005ca634629,41.15868,-8.6281733
331,0005ca634629,41.1586999,-8.628175
332,0005ca634629,41.1586749,-8.62816
333,0005ca634629,41.1587107,-8.6283085
334,0005ca634629,41.1587371,-8.6283012
335,0005ca634629,41.1587024,-8.6283334
336,0005ca634629,41.15874,-8.6282883
337,0005ca634629,41.1587442,-8.6283362
338,0005ca634629,41.1586899,-8.6282883
339,0005ca634629,41.1586525,-8.6282927
340,0005ca634629,41.1586566,-8.6283316
341,0005ca634629,41.1586803,-8.6283449
342,0005ca634629,41.1586899,-8.6283233
343,0005ca634629,41.158699,-8.6282975
344,0005ca634629,41.1586516,-8.6283083
345,0005ca634629,41.158685,-8.6283336
346,0005ca634629,41.1586649,-8.6282539
347,0005ca634629,41.1586608,-8.6283314
348,0005ca634629,41.158665,-8.628285
349,0005ca634629,41.1586769,-8.6283351
350,0005ca634629,41.1587199,-8.62829
351,0005ca634629,41.1587113,-8.6283376
352,0005ca634629,41.1587069,-8.6283194
353,0005ca634629,41.1586599,-8.628348
354,0005ca634629,41.1586569,-8.6283237
355,0005ca634629,41.1587178,-8.6282556
356,0005ca634629,41.158742,-8.6283156
357,0005ca634629,41.1587333,-8.6282683
358,0005ca634629,41.1587471,-8.6282779
359,0005ca634629,41.1587134,-8.6283339
360,0005ca634629,41.1586769,-8.6283326
361,0005ca634629,41.1587416,-8.6282816
362,0005ca634629,41.1586883,-8.628345
363,0005ca634629,41.1587199,-8.6284083
364,0005ca634629,41.1587383,-8.6284499
365,0005ca634629,41.1586602,-8.6283801
366,0005ca634629,41.1587383,-8.6284483
367,0005ca634629,41.1586833,-8.62835
368,0005ca634629,41.1587349,-8.6284349
369,0005ca634629,41.1587265,-8.6284115
370,0005ca634629,41.1587116,-8.6283916
371,0005ca634629,41.1587224,-8.62838
372,0005ca634629,41.1586827,-8.6283598
373,0005ca634629,41.1586809,-8.6283805
374,0005ca634629,41.1587033,-8.6283583
375,0005ca634629,41.1587116,-8.6283816
376,0005ca634629,41.1587353,-8.6284069
377,0005ca634629,41.1587216,-8.6284433
